design,variant,method,metric,value,questions,span_questions,ms_per_query
per-variant,base,qwen8b,hit@1,0.690867,3471,0,17.095
per-variant,base,qwen8b,hit@5,0.884183,3471,0,17.095
per-variant,base,qwen8b,hit@10,0.927975,3471,0,17.095
per-variant,base,qwen8b,recall@10,0.927975,3471,0,17.095
per-variant,base,qwen8b,mrr@10,0.774940,3471,0,17.095
per-variant,base,qwen8b,category_hit/crosslingual,0.895775,3471,0,17.095
per-variant,base,qwen8b,category_hit/direct_long,0.975610,3471,0,17.095
per-variant,base,qwen8b,category_hit/direct_short,0.901505,3471,0,17.095
per-variant,base,qwen8b,category_hit/vague_long,0.944024,3471,0,17.095
per-variant,base,qwen8b,category_hit/vague_short,0.715288,3471,0,17.095
per-variant,base,qwen8b_hybrid_rerank,hit@1,0.764333,3471,0,692.127
per-variant,base,qwen8b_hybrid_rerank,hit@5,0.911841,3471,0,692.127
per-variant,base,qwen8b_hybrid_rerank,hit@10,0.945261,3471,0,692.127
per-variant,base,qwen8b_hybrid_rerank,recall@10,0.945261,3471,0,692.127
per-variant,base,qwen8b_hybrid_rerank,mrr@10,0.828974,3471,0,692.127
per-variant,base,qwen8b_hybrid_rerank,category_hit/crosslingual,0.890141,3471,0,692.127
per-variant,base,qwen8b_hybrid_rerank,category_hit/direct_long,0.986280,3471,0,692.127
per-variant,base,qwen8b_hybrid_rerank,category_hit/direct_short,0.912449,3471,0,692.127
per-variant,base,qwen8b_hybrid_rerank,category_hit/vague_long,0.968230,3471,0,692.127
per-variant,base,qwen8b_hybrid_rerank,category_hit/vague_short,0.812062,3471,0,692.127
per-variant,tok256,qwen8b,hit@1,0.730419,7801,0,12.860
per-variant,tok256,qwen8b,hit@5,0.898475,7801,0,12.860
per-variant,tok256,qwen8b,hit@10,0.931163,7801,0,12.860
per-variant,tok256,qwen8b,recall@10,0.931163,7801,0,12.860
per-variant,tok256,qwen8b,mrr@10,0.803082,7801,0,12.860
per-variant,tok256,qwen8b,category_hit/crosslingual,0.873684,7801,0,12.860
per-variant,tok256,qwen8b,category_hit/direct_long,0.965596,7801,0,12.860
per-variant,tok256,qwen8b,category_hit/direct_short,0.937500,7801,0,12.860
per-variant,tok256,qwen8b,category_hit/vague_long,0.878418,7801,0,12.860
per-variant,tok256,qwen8b,category_hit/vague_short,0.824037,7801,0,12.860
per-variant,tok256,qwen8b_hybrid_rerank,hit@1,0.750545,7801,0,463.236
per-variant,tok256,qwen8b_hybrid_rerank,hit@5,0.906166,7801,0,463.236
per-variant,tok256,qwen8b_hybrid_rerank,hit@10,0.936547,7801,0,463.236
per-variant,tok256,qwen8b_hybrid_rerank,recall@10,0.936547,7801,0,463.236
