design,variant,method,metric,value,questions,span_questions,ms_per_query
shared,base,qwen_hybrid_rerank,hit@1,0.718000,500,0,855.514
shared,base,qwen_hybrid_rerank,hit@5,0.884000,500,0,855.514
shared,base,qwen_hybrid_rerank,hit@10,0.900000,500,0,855.514
shared,base,qwen_hybrid_rerank,recall@10,0.900000,500,0,855.514
shared,base,qwen_hybrid_rerank,mrr@10,0.787429,500,0,855.514
shared,base,qwen_hybrid_rerank,category_hit/crosslingual,0.891304,500,0,855.514
shared,base,qwen_hybrid_rerank,category_hit/direct_long,0.939759,500,0,855.514
shared,base,qwen_hybrid_rerank,category_hit/direct_short,0.886792,500,0,855.514
shared,base,qwen_hybrid_rerank,category_hit/vague_long,0.981308,500,0,855.514
shared,base,qwen_hybrid_rerank,category_hit/vague_short,0.741071,500,0,855.514
shared,base,qwen_hybrid_rerank_geo,hit@1,0.718000,500,0,829.148
shared,base,qwen_hybrid_rerank_geo,hit@5,0.884000,500,0,829.148
shared,base,qwen_hybrid_rerank_geo,hit@10,0.900000,500,0,829.148
shared,base,qwen_hybrid_rerank_geo,recall@10,0.900000,500,0,829.148
shared,base,qwen_hybrid_rerank_geo,mrr@10,0.787796,500,0,829.148
shared,base,qwen_hybrid_rerank_geo,category_hit/crosslingual,0.891304,500,0,829.148
shared,base,qwen_hybrid_rerank_geo,category_hit/direct_long,0.939759,500,0,829.148
shared,base,qwen_hybrid_rerank_geo,category_hit/direct_short,0.886792,500,0,829.148
shared,base,qwen_hybrid_rerank_geo,category_hit/vague_long,0.981308,500,0,829.148
shared,base,qwen_hybrid_rerank_geo,category_hit/vague_short,0.741071,500,0,829.148
shared,base,qwen_hybrid_rerank_geo_strict,hit@1,0.696000,500,0,814.713
shared,base,qwen_hybrid_rerank_geo_strict,hit@5,0.856000,500,0,814.713
shared,base,qwen_hybrid_rerank_geo_strict,hit@10,0.872000,500,0,814.713
shared,base,qwen_hybrid_rerank_geo_strict,recall@10,0.872000,500,0,814.713
shared,base,qwen_hybrid_rerank_geo_strict,mrr@10,0.763463,500,0,814.713
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/crosslingual,0.836957,500,0,814.713
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/direct_long,0.891566,500,0,814.713
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/direct_short,0.877358,500,0,814.713
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/vague_long,0.953271,500,0,814.713
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/vague_short,0.732143,500,0,814.713
shared,base,qwen_hybrid_geo,hit@1,0.576000,500,0,8.098
shared,base,qwen_hybrid_geo,hit@5,0.776000,500,0,8.098
shared,base,qwen_hybrid_geo,hit@10,0.832000,500,0,8.098
shared,base,qwen_hybrid_geo,recall@10,0.832000,500,0,8.098
shared,base,qwen_hybrid_geo,mrr@10,0.663594,500,0,8.098
shared,base,qwen_hybrid_geo,category_hit/crosslingual,0.771739,500,0,8.098
shared,base,qwen_hybrid_geo,category_hit/direct_long,0.927711,500,0,8.098
shared,base,qwen_hybrid_geo,category_hit/direct_short,0.830189,500,0,8.098
shared,base,qwen_hybrid_geo,category_hit/vague_long,0.869159,500,0,8.098
shared,base,qwen_hybrid_geo,category_hit/vague_short,0.526786,500,0,8.098
shared,base,qwen_hybrid_agentic_geo,hit@1,0.736000,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,hit@5,0.888000,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,hit@10,0.906000,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,recall@10,0.906000,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,mrr@10,0.800329,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,hit@20,0.906000,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,recall@20,0.906000,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,mrr@20,0.800329,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,category_hit/crosslingual,0.902174,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,category_hit/direct_long,0.939759,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,category_hit/direct_short,0.886792,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,category_hit/vague_long,0.981308,500,0,6621.266
shared,base,qwen_hybrid_agentic_geo,category_hit/vague_short,0.750000,500,0,6621.266
shared,base,qwen_hybrid_agentic_tools_geo,hit@1,0.720000,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,hit@5,0.882000,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,hit@10,0.902000,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,recall@10,0.902000,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,mrr@10,0.788813,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,hit@20,0.902000,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,recall@20,0.902000,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,mrr@20,0.788813,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/crosslingual,0.891304,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/direct_long,0.927711,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/direct_short,0.886792,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/vague_long,0.981308,500,0,5318.431
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/vague_short,0.741071,500,0,5318.431
